id,SalePrice
1461,120129.31638285173
1462,153008.78540649835
1463,181999.667865918
1464,195952.2849978026
1465,197477.8125872035
1466,171222.84373663162
1467,178212.01779580885
1468,161123.61215957525
1469,193898.47881496898
1470,119925.60478980588
1471,189952.67847808302
1472,97385.92416901965
1473,96173.51867350182
1474,146413.76269308914
1475,113408.51351352438
1476,363558.8497525442
1477,250762.12819425573
1478,294599.18152895407
1479,299293.44565708213
1480,474977.5880362876
1481,325368.5976020468
1482,210850.56526419742
1483,177057.72071004263
1484,162710.84512153693
1485,191473.76554705796
1486,193107.9617774654
1487,339866.0295461023
1488,238341.33532048328
1489,193749.60820502572
1490,231349.06594699793
1491,195044.0702841488
1492,92756.67611514157
1493,189749.58843921227
1494,299951.3792833907
1495,293285.59112122026
1496,235702.1576615435
1497,179388.32508260943
1498,167787.27829460733
1499,162374.42494970988
1500,152697.77495439636
1501,174507.692775339
1502,145503.6506212222
1503,290290.22303373436
1504,242519.0337992151
1505,225593.9751779169
1506,188193.2251987875
1507,245834.5514780434
1508,202873.92776776507
1509,163898.0977788802
1510,143480.39546743763
1511,148092.6730057099
1512,175334.355302345
1513,152363.35065623047
1514,155109.81990672945
1515,197374.40600365406
1516,157898.1108176084
1517,168347.74792537407
1518,132466.49684443168
1519,209170.4308041955
1520,127540.30850578826
1521,130083.4751555352
1522,178496.13977394527
1523,110130.51159133464
1524,125686.4470163875
1525,120266.19747097132
1526,113488.37444080865
1527,107566.17450085806
1528,137378.38934699463
1529,149722.56499002723
1530,184338.36270192437
1531,105988.75185360062
1532,98505.57943429315
1533,142816.38267748768
1534,127215.27170736785
1535,147673.9020225078
1536,106379.1156371906
1537,64977.58596862494
1538,147236.97205496192
1539,191933.55837510552
1540,94263.45850341642
1541,138707.10514196922
1542,139649.24986487295
1543,189700.5375199917
1544,85068.008481338
1545,115257.94054333334
1546,135137.9128230153
1547,127884.20576731034
1548,138708.24355731037
1549,119838.49286651268
1550,135618.02321826073
1551,108884.99981547246
1552,136390.98109602067
1553,148289.8077436696
1554,116891.82272110358
1555,160376.90131114126
1556,85485.17170699107
1557,105780.72011395833
1558,97580.45125685347
1559,63552.7680269233
1560,134335.23100407352
1561,129372.72588983337
1562,130057.34828423696
1563,117918.55506134802
1564,155071.55198099776
1565,150955.34079507203
1566,237772.53074719768
1567,76404.0750295784
1568,230818.44131562498
1569,127780.26853477252
1570,139167.54640386638
1571,123248.06659908082
1572,142090.06900251668
1573,236848.71671764058
1574,118411.16056848996
1575,228294.7333937115
1576,241692.83937702083
1577,182201.763554357
1578,148720.333350499
1579,144283.67460412002
1580,196843.92801768094
1581,153037.5173431955
1582,125687.59815299758
1583,295888.95713129675
1584,216154.1458681093
1585,136126.5245419615
1586,67143.7331393885
1587,104989.71874882642
1588,151179.16829745087
1589,96656.216489768
1590,133891.40280903337
1591,92120.86640430172
1592,114189.88906279943
1593,127669.24235410152
1594,123646.9654616614
1595,107500.49085079688
1596,222575.43631115564
1597,193546.93965914875
1598,227982.70331666223
1599,172656.03043455415
1600,162810.3634734947
1601,68670.57817887756
1602,117135.40853671743
1603,71358.15862846214
1604,260213.98917750374
1605,243774.23195768538
1606,168701.8701135875
1607,173316.51157346845
1608,214614.04136398603
1609,185339.24789518543
1610,150446.69880184537
1611,138184.72480648317
1612,170111.59149848673
1613,161412.03068661503
1614,128011.21692279389
1615,93618.25419454864
1616,77864.51966472293
1617,95346.84781026703
1618,124769.0814331623
1619,140093.27093942062
1620,152267.5507211408
1621,138619.2405802832
1622,141655.71194439204
1623,261268.10001323334
1624,209360.63951990465
1625,120859.60722550016
1626,170452.59591000897
1627,190582.20893444953
1628,280021.0948513829
1629,184313.18863868652
1630,345037.48366736737
1631,230402.01030487745
1632,244459.2609012971
1633,174440.99603746395
1634,185156.26676201116
1635,176706.7483973534
1636,152578.34298140154
1637,199100.659158286
1638,181426.71434846788
